time,motor_with_onshape_mounting_x,motor_with_onshape_mounting_y,motor_with_onshape_mounting_2_x,motor_with_onshape_mounting_2_y,motor_with_onshape_mounting_3_x,motor_with_onshape_mounting_3_y,motor_with_onshape_mounting_4_x,motor_with_onshape_mounting_4_y,motor_with_onshape_mounting_5_x,motor_with_onshape_mounting_5_y,motor_with_onshape_mounting_6_x,motor_with_onshape_mounting_6_y,motor_with_no_arms_x,motor_with_no_arms_y,com_x,com_y
0.000000,,,,,,,,,,,,,,,,
0.084000,,,,,,,,,,,,,,,,
0.098000,,,,,,,,,,,,,,,,
0.148000,,,,,,,,,,,,,,,,
0.198000,,,,,,,,,,,,,,,,
0.248000,2.7672460777066384e-08,1.267941039839642e-05,2.6518472945123496e-08,0.10535824123106882,3.450901007730443e-07,0.22535824118999903,6.636617274236066e-07,0.34535824114892927,9.822333531000099e-07,0.4653582411078596,1.3008049782190056e-06,0.5853582410667897,1.619376603039334e-06,0.70535824102572,,
0.298000,2.7672223380186205e-08,1.2679677294083038e-05,2.6973983037339633e-08,0.10535768110589279,3.4554560553188863e-07,0.22535768108875873,6.641172271169187e-07,0.34535768107162473,9.82688847947833e-07,0.46535768105449077,1.3012604683456817e-06,0.5853576810373566,1.619832088515426e-06,0.7053576810202228,,
0.348000,2.7672061879570048e-08,1.267986479083492e-05,2.7324431239811143e-08,0.10535725127160042,3.4589605106982454e-07,0.22535725126573747,6.644676701969754e-07,0.3453572512598745,9.830392887402466e-07,0.4653572512540117,1.3016109069475625e-06,0.5853572512481485,1.6201825249827777e-06,0.7053572512422857,,
0.398000,2.767198107818756e-08,1.267996022709577e-05,2.7475473969853755e-08,0.10535706644618245,3.4604709299457507e-07,0.22535706644327105,6.646187114761611e-07,0.3453570664403597,9.831903295056405e-07,0.4653570664374484,1.301761947274686e-06,0.5853570664345368,1.6203335649155011e-06,0.7053570664316257,,
0.448000,2.7671900174115738e-08,1.2680056869909603e-05,2.7624161928092966e-08,0.10535688499502208,3.461957803440453e-07,0.2253568849938997,6.647673983404122e-07,0.34535688499277717,9.833390159866934e-07,0.4653568849916549,1.3019106334311566e-06,0.5853568849905323,1.62048225078155e-06,0.7053568849894101,7.436070401611623e-07,0.3616734643546788
0.498000,2.76718191130497e-08,1.2680154768972432e-05,2.7624161928092966e-08,0.10535688499502208,3.461957804521468e-07,0.2253568849938997,6.647673986522148e-07,0.34535688499277717,9.833390165811942e-07,0.4653568849916549,1.301910634353802e-06,0.5853568849905323,1.6204822520588724e-06,0.7053568849894101,7.436590964160339e-07,0.36167340103430473
0.548000,2.76718191130497e-08,1.2680154768972432e-05,2.772282627562865e-08,0.10535676498111678,3.462944443591302e-07,0.22535676498057403,6.6486606219264e-07,0.3453567649800313,9.834376798162274e-07,0.46535676497948864,1.3020092973186681e-06,0.5853567649789458,1.6205809147741458e-06,0.7053567649784033,7.436590967912513e-07,0.361673401034306
